Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,IoU,Dice Score,Per-class Accuracy
13,0.6938765568392617,0.6800691352950202,"tensor(0.9825, device='cuda:0')","[tensor(0.9826, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0072, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9912, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9982, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.9071, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
14,0.6771460567201887,0.6610595418347253,"tensor(0.9776, device='cuda:0')","[tensor(0.9779, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9888, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0363, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9934, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.9917, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
15,0.6787086512361254,0.6606241100364261,"tensor(0.9763, device='cuda:0')","[tensor(0.9766, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9882, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0359, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9921, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.8727, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
16,0.668758464711053,0.6415060725477006,"tensor(0.9802, device='cuda:0')","[tensor(0.9805, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9901, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0219, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9960, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.5175, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
17,0.6617734381130763,0.6256864236460792,"tensor(0.9780, device='cuda:0')","[tensor(0.9784, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0212, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9890, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0410, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9939, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.1454, device='cuda:0'), tensor(738.8536, device='cuda:0')]"
18,0.6564430918012346,0.6393688950273726,"tensor(0.9713, device='cuda:0')","[tensor(0.9719, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0260, device='cuda:0'), tensor(0.0001, device='cuda:0')]","[tensor(0.9857, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0502, device='cuda:0'), tensor(0.0003, device='cuda:0')]","[tensor(0.9873, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.1502, device='cuda:0'), tensor(738.7237, device='cuda:0')]"
19,0.6521030417510442,0.6683213048511081,"tensor(0.9766, device='cuda:0')","[tensor(0.9769, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0247, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9883, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0478, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9924, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.9970, device='cuda:0'), tensor(738.8542, device='cuda:0')]"
20,0.6650830524308341,0.650844030910068,"tensor(0.9769, device='cuda:0')","[tensor(0.9772, device='cuda:0'), tensor(0.0011, device='cuda:0'), tensor(0.0226, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9885, device='cuda:0'), tensor(0.0023, device='cuda:0'), tensor(0.0435, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9927, device='cuda:0'), tensor(187.0590, device='cuda:0'), tensor(168.9732, device='cuda:0'), tensor(738.8480, device='cuda:0')]"
21,0.6568219883101327,0.6335836549599966,"tensor(0.9839, device='cuda:0')","[tensor(0.9840, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0036, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9919, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0072, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9996, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(170.1086, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
22,0.6518013834953308,0.711154215865665,"tensor(0.9790, device='cuda:0')","[tensor(0.9792, device='cuda:0'), tensor(7.1465e-07, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0002, device='cuda:0')]","[tensor(0.9895, device='cuda:0'), tensor(1.4293e-06, device='cuda:0'), tensor(0.0387, device='cuda:0'), tensor(0.0003, device='cuda:0')]","[tensor(0.9947, device='cuda:0'), tensor(187.0684, device='cuda:0'), tensor(169.3628, device='cuda:0'), tensor(738.6439, device='cuda:0')]"
23,0.6405629822186061,0.6221207049157884,"tensor(0.9715, device='cuda:0')","[tensor(0.9719, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0309, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9857, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0581, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9873, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.1587, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
24,0.6411675436156137,0.6298089789019691,"tensor(0.9810, device='cuda:0')","[tensor(0.9812, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0004, device='cuda:0')]","[tensor(0.9905, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0276, device='cuda:0'), tensor(0.0007, device='cuda:0')]","[tensor(0.9968, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.5623, device='cuda:0'), tensor(738.8192, device='cuda:0')]"
25,0.6428526742117745,0.6220272216531966,"tensor(0.9713, device='cuda:0')","[tensor(0.9719, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0241, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9857, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0466, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9873, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.0676, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
26,0.6476544737815857,0.6235048969586691,"tensor(0.9727, device='cuda:0')","[tensor(0.9731, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0259, device='cuda:0'), tensor(0.0011, device='cuda:0')]","[tensor(0.9864, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0492, device='cuda:0'), tensor(0.0021, device='cuda:0')]","[tensor(0.9886, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.3555, device='cuda:0'), tensor(738.4041, device='cuda:0')]"
27,0.6514333878244672,0.6063093576166365,"tensor(0.9393, device='cuda:0')","[tensor(0.9408, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0418, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9695, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0789, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9560, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(162.3826, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
28,0.6368395396641322,0.5906810031996833,"tensor(0.9661, device='cuda:0')","[tensor(0.9669, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0330, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9831, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0621, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9823, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(167.5014, device='cuda:0'), tensor(738.8545, device='cuda:0')]"
29,0.6411469297749656,0.6040725906689962,"tensor(0.9711, device='cuda:0')","[tensor(0.9716, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0376, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9856, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0715, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9871, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(167.8649, device='cuda:0'), tensor(738.8496, device='cuda:0')]"
30,0.6281458599226816,0.6282683776484596,"tensor(0.9083, device='cuda:0')","[tensor(0.9105, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0282, device='cuda:0'), tensor(0.0050, device='cuda:0')]","[tensor(0.9529, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0536, device='cuda:0'), tensor(0.0099, device='cuda:0')]","[tensor(0.9254, device='cuda:0'), tensor(187.0722, device='cuda:0'), tensor(158.1994, device='cuda:0'), tensor(737.0803, device='cuda:0')]"
31,0.6398507297039032,0.6102087597052256,"tensor(0.9672, device='cuda:0')","[tensor(0.9680, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0396, device='cuda:0'), tensor(2.1505e-05, device='cuda:0')]","[tensor(0.9837, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0738, device='cuda:0'), tensor(4.3002e-05, device='cuda:0')]","[tensor(0.9834, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(167.3230, device='cuda:0'), tensor(738.7531, device='cuda:0')]"
32,0.6192455189568656,0.6327074964841207,"tensor(0.9736, device='cuda:0')","[tensor(0.9740, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0035, device='cuda:0')]","[tensor(0.9868, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0330, device='cuda:0'), tensor(0.0069, device='cuda:0')]","[tensor(0.9895, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(168.5360, device='cuda:0'), tensor(738.1326, device='cuda:0')]"
33,0.6250163699899401,0.5859016180038452,"tensor(0.9766, device='cuda:0')","[tensor(0.9769, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0372, device='cuda:0'), tensor(0.0037, device='cuda:0')]","[tensor(0.9883, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0664, device='cuda:0'), tensor(0.0072, device='cuda:0')]","[tensor(0.9924, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.1347, device='cuda:0'), tensor(738.1280, device='cuda:0')]"
34,0.6308827996253967,0.5995475186241997,"tensor(0.9569, device='cuda:0')","[tensor(0.9579, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0400, device='cuda:0'), tensor(0.0045, device='cuda:0')]","[tensor(0.9784, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0736, device='cuda:0'), tensor(0.0088, device='cuda:0')]","[tensor(0.9732, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(166.0097, device='cuda:0'), tensor(737.4026, device='cuda:0')]"
35,0.6146088072231838,0.5888759990533193,"tensor(0.9700, device='cuda:0')","[tensor(0.9706, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0370, device='cuda:0'), tensor(0.0020, device='cuda:0')]","[tensor(0.9851, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0695, device='cuda:0'), tensor(0.0040, device='cuda:0')]","[tensor(0.9860, device='cuda:0'), tensor(187.0725, device='cuda:0'), tensor(167.9385, device='cuda:0'), tensor(738.6423, device='cuda:0')]"
36,0.6042228741305214,0.5893182820743985,"tensor(0.9728, device='cuda:0')","[tensor(0.9735, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0384, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9865, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0722, device='cuda:0'), tensor(0., device='cuda:0')]","[tensor(0.9889, device='cuda:0'), tensor(187.0719, device='cuda:0'), tensor(168.3519, device='cuda:0'), tensor(738.3685, device='cuda:0')]"
37,0.6119005365031106,0.5946450697051154,"tensor(0.9722, device='cuda:0')","[tensor(0.9726, device='cuda:0'), tensor(5.2848e-05, device='cuda:0'), tensor(0.0344, device='cuda:0'), tensor(0.0120, device='cuda:0')]","[tensor(0.9861, device='cuda:0'), tensor(0.0001, device='cuda:0'), tensor(0.0621, device='cuda:0'), tensor(0.0230, device='cuda:0')]","[tensor(0.9880, device='cuda:0'), tensor(187.0722, device='cuda:0'), tensor(169.0079, device='cuda:0'), tensor(735.2990, device='cuda:0')]"
38,0.6009730245385851,0.591568241516749,"tensor(0.9756, device='cuda:0')","[tensor(0.9759, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0206, device='cuda:0'), tensor(0.0155, device='cuda:0')]","[tensor(0.9878, device='cuda:0'), tensor(0., device='cuda:0'), tensor(0.0401, device='cuda:0'), tensor(0.0294, device='cuda:0')]","[tensor(0.9914, device='cuda:0'), tensor(187.0726, device='cuda:0'), tensor(169.7198, device='cuda:0'), tensor(734.1618, device='cuda:0')]"
