Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,Mean IoU,Mean Dice Score,Per-class IoU,Per-class Dice
36,0.6078896403312684,0.6089188522762723,"tensor(0.9466, device='cuda:0')",0.37073415517807007,0.44600605964660645,"[0.9511778950691223, 0.3744034767150879, 0.007644317112863064, 0.14971095323562622]","[0.9749420285224915, 0.5444182753562927, 0.015093816444277763, 0.24957016110420227]"
37,0.6208642108099801,0.6033206515842013,"tensor(0.9490, device='cuda:0')",0.36953219771385193,0.44958049058914185,"[0.9551634192466736, 0.343880295753479, 0.04423777759075165, 0.13484732806682587]","[0.9770470857620239, 0.5101737380027771, 0.08383844047784805, 0.22726276516914368]"
38,0.5999603322574071,0.5961794720755683,"tensor(0.9525, device='cuda:0')",0.38006141781806946,0.46392056345939636,"[0.959020733833313, 0.3583593964576721, 0.04919649660587311, 0.15366898477077484]","[0.9790732264518738, 0.5267980694770813, 0.09261573106050491, 0.25719520449638367]"
39,0.6011110067367553,0.6272322204377916,"tensor(0.9561, device='cuda:0')",0.35476118326187134,0.42762964963912964,"[0.9623918533325195, 0.31004777550697327, 0.03640389069914818, 0.11020129919052124]","[0.9808230996131897, 0.4719353914260864, 0.06922591477632523, 0.18853415548801422]"
40,0.5960342083658491,0.5698879460493723,"tensor(0.9581, device='cuda:0')",0.40015164017677307,0.4888455867767334,"[0.9631577730178833, 0.3864893913269043, 0.0630701556801796, 0.1878892481327057]","[0.9812160134315491, 0.555790364742279, 0.11725085228681564, 0.30112504959106445]"
41,0.5975654261452811,0.572717010974884,"tensor(0.9555, device='cuda:0')",0.3961291015148163,0.4803329408168793,"[0.9589931964874268, 0.38402560353279114, 0.04428049921989441, 0.1972171813249588]","[0.9790474772453308, 0.5538016557693481, 0.08226344734430313, 0.306219220161438]"
42,0.5969114780426026,0.5638556877772013,"tensor(0.9578, device='cuda:0')",0.408966988325119,0.5032743215560913,"[0.9617023468017578, 0.37437939643859863, 0.08477512747049332, 0.21501106023788452]","[0.9804667234420776, 0.5437537431716919, 0.15234510600566864, 0.33653169870376587]"
43,0.588409617968968,0.6226875384648641,"tensor(0.9507, device='cuda:0')",0.3637831509113312,0.4376734793186188,"[0.9565140604972839, 0.36581146717071533, 0.07325128465890884, 0.059555843472480774]","[0.9777555465698242, 0.5350067615509033, 0.13284927606582642, 0.10508231073617935]"
44,0.5955941115106855,0.563798275258806,"tensor(0.9536, device='cuda:0')",0.4067194163799286,0.5012332201004028,"[0.9595430493354797, 0.3822743594646454, 0.08496614545583725, 0.2000941038131714]","[0.979338526725769, 0.55230712890625, 0.15474897623062134, 0.31853818893432617]"
45,0.587793185029711,0.548548032840093,"tensor(0.9542, device='cuda:0')",0.4147292971611023,0.5137519836425781,"[0.9599998593330383, 0.3736368417739868, 0.10664180666208267, 0.21863864362239838]","[0.9795781373977661, 0.5423411130905151, 0.19077454507350922, 0.3423140048980713]"
